Kuwait to Suez:
  (47.98, 29.37)
  (49.5, 28.3)
  (51.0, 27.2)
  (52.5, 26.3)
  (54.0, 25.5)
  (55.2, 25.8)
  (55.8, 26.3)
  (56.4, 26.65)
  (56.4, 26.65)
  (56.9, 26.1)
  (57.5, 25.5)
  (58.2, 24.9)
  (59.0, 24.1)
  (59.8, 23.0)
  (60.4, 22.0)
  (60.6, 21.0)
  (58.5, 16.5)
  (55.0, 13.0)
  (50.0, 11.8)
  (45.0, 12.0)
  (43.4, 12.4)
  (42.95, 14.8)
  (42.53, 16.88)
  (39.18, 21.48)
  (37.98, 23.95)
  (34.0, 27.5)
  (32.53, 29.93)

Kuwait to India:
  (47.98, 29.37)
  (49.5, 28.3)
  (51.0, 27.2)
  (52.5, 26.3)
  (54.0, 25.5)
  (55.2, 25.8)
  (55.8, 26.3)
  (56.4, 26.65)
  (56.9, 26.1)
  (57.5, 25.5)
  (58.2, 24.9)
  (60.0, 23.5)
  (63.5, 21.0)
  (68.0, 19.5)
  (72.85, 19.0)
